title,youtube_url,artist,genre,hint,start_time
"[iris out, 이리스 아웃]",https://www.youtube.com/watch?v=LmZD-TU96q4,요네즈 켄시,JPOP,붐,0
"[Everything at Once, 애브리띵앳원스]",https://www.youtube.com/watch?v=47rMmPZPI3s&list=PL0_Ak3cMG1L4l3Lo1h4wIi21Fc3F2i0_l,렌카,POP,윈도우 광고,0
"[드라우닝, Drowning]",https://www.youtube.com/watch?v=NbKH4iZqq1Y&list=PL0_Ak3cMG1L4l3Lo1h4wIi21Fc3F2i0_l,우즈,한국노래,ㄷㄹㅇㄴ,0
[나는 반딧불],https://www.youtube.com/watch?v=it0haqiAC-o&list=PL0_Ak3cMG1L4l3Lo1h4wIi21Fc3F2i0_l,중식이,한국노래,몰락,20
[네가 모르는 이야기],https://www.youtube.com/watch?v=0VpGoDp3FCE,SuperCell,JPOP,여름의 대삼각형,0
"[달빛, Clair de lune]",https://www.youtube.com/watch?v=WKU8DJzipW4,드뷔시,클래식,ㄷㅂ,0
[볼레로],https://www.youtube.com/watch?v=alBQFJjniV0,라벨,클래식,디지몬,720
"[Sk8er Boi, 스케이터 보이]",https://www.youtube.com/watch?v=TIy3n2b7V9k,Avril Lavigne,POP,ㅅㅋㅇㅌ ㅂㅇ,8
[빙고],https://www.youtube.com/watch?v=dRXqAYWZw_c,거북이,한국노래,쉽게만 살아가면~,0
[홍련의 화살],https://www.youtube.com/watch?v=KOTN-3_y6W8,Linked Horizon,JPOP,진격거,0
[나에게로 떠나는 여행],https://www.youtube.com/watch?v=w7adx_CuApw,버즈,한국노래,ㄴㅇㄱㄹ ㄸㄴㄴ ㅇㅎ,15
[라데츠키 행진곡],https://www.youtube.com/watch?v=0rQTe4Nu0nI,Johann Strauss,클래식,ㄹㄷㅊㅋ ㅎㅈㄱ,7
[스물다섯 스물하나],https://www.youtube.com/watch?v=R3KtLQylivQ,자우림,한국노래,25 21,0
"[프리텐더, Pretender]",https://www.youtube.com/watch?v=TQ8WlA2GXbk,Official髭男dism,JPOP,,0
"[개다, 맑음]",https://www.youtube.com/watch?v=CkvWJNt77mU,요루시카,JPOP,프리렌,0
"[아비드, avid]",https://www.youtube.com/watch?v=YGOX7Tj0dMY,SawanoHiroyuki[nZk]:mizuki,JPOP,86,10
[나는 최강],https://www.youtube.com/watch?v=sk1Z-Hqwwog,Ado,JPOP,우소마토 오프닝곡,0
[거꾸로 강을 거슬러 오르는 저 힘찬 연어들처럼],https://www.youtube.com/watch?v=VIqUJm-fYKk,강산에,한국노래,ㄱㄲㄹ ㄱㅇ ㄱ,0
"[테이크 미 홈 컨트리 로드, Take me home country roads]",https://www.youtube.com/watch?v=1vrEljMfXYo,John Denver,POP,-틀-,0
"[빌리진, Billie Jean]",https://www.youtube.com/watch?v=Zi_XLOBDo_Y,마이클 잭슨,POP,ㅂㄹㅈ,0
[하바네라],https://www.youtube.com/watch?v=tSsNFPk2vNA,카르멘 중,오페라,매운 고추랑 이름 비슷함,5
[위풍당당 행진곡],https://www.youtube.com/watch?v=TulbyShGmeI,엘가,클래식,ㅇㅍㄷㄷ ㅎㅈㄱ,70
[젤다의 전설],https://www.youtube.com/watch?v=EIaLT43HX9o,젤다의 전설 메인 테마,게임 노래,초록 옷 입은 애가..,0
"[별의 커비, 스카이하이]",https://www.youtube.com/watch?v=sXMNNouY-6A,별의 커비,게임 노래,빨아들여!,0
"[All I Want For Christmas Is You, 올 아이 원트 포 크리스마스 이스 유]",https://www.youtube.com/watch?v=Ronofs_4XjE,머라이어 캐리,POP,캐롤 GOAT ,0
"[Falling Slowly, 폴링 슬로우리, 폴링 슬로울리]",https://www.youtube.com/watch?v=FkFB8f8bzbY,Glen Hansard and Marketa Irglova,POP,Once 주제곡,0
[낭만고양이],https://www.youtube.com/watch?v=xEEtcrCH5To,체리필터,한국노래,나는 ㄴㅁㄱㅇㅇ~,0
"[해피, happy]",https://www.youtube.com/watch?v=2o1zdX72400,DAY6,한국노래,행복,0
"[레인, Rain]",https://www.youtube.com/watch?v=ODk1GyYsDv4,SID,JPOP,강철,0
[돌덩이],https://www.youtube.com/watch?v=Vi7eDt3jiT8,하현우,한국노래,이태원 클라쓰,0
[가시],https://www.youtube.com/watch?v=1-Lm2LUR8Ss,버즈,한국노래,ㄱㅅ,0
"[지, Gee]",https://www.youtube.com/watch?v=zadppu2Bmy0,소녀시대,한국노래,가사에 답이 있음,0
"[golden, 골든]",https://www.youtube.com/watch?v=9_bTl2vvYQg,Hunter/X,한국?노래,케데헌,0
[만찬가],https://www.youtube.com/watch?v=oZpYEEcvu5I,tuki,JPOP,ㅁㅊㄱ,0
[호랑수월가],https://www.youtube.com/watch?v=D92O5JT3E8A,탑현,한국노래,ㅎㄹㅅㅇㄱ,0
[출발],https://www.youtube.com/watch?v=PBWuX-b38XU,김동률,한국노래,ㅊㅂ,0
[아모르파티],https://www.youtube.com/watch?v=z4lGgzEya-o,김연자,한국노래,트로트,0
[다키스트 던전],https://www.youtube.com/watch?v=JYFU_RiefKk,다키스트 던전,게임노래,요즘 하는 게임,0
"[슈퍼 마리오, 마리오]",https://www.youtube.com/watch?v=T2sTvN4Tob8,슈퍼 마리오 브라더스,게임노래,배관공,0
"[mr. blue sky, mr blue sky, 미스터 블루 스카이]",https://www.youtube.com/watch?v=wuJIqmha2Hk,Electric Light Orchestra,POP,가오갤,0
"[콜 미 메이비, Call  me maybe]",https://www.youtube.com/watch?v=fWNaR-rxAic,Carly Rae Jepsen,POP,ㅋㅁㅁㅇㅂ,0
[메갈로바니아],https://www.youtube.com/watch?v=KK3KXAECte4,Toby fox,게임노래,와!,0
"[Hopes and dreams, 호프즈 앤 드림즈, 언더테일]",https://www.youtube.com/watch?v=wbO3p7_Mf30,Toby Fox,게임노래,퉁실,0
